           [1>1]           [1>2]           [1>3]           [1>4]           [1>5]           [2>1]           [2>2]           [2>3]           [2>4]           [2>5]           [3>1]           [3>2]           [3>3]           [3>4]           [3>5]           [4>1]           [4>2]           [4>3]           [4>4]           [4>5]           [5>1]           [5>2]           [5>3]           [5>4]           [5>5]
  0.0000000E+000  2.5357360E-001  7.5277308E-005  7.5420441E-007  2.0001265E-004  9.3753323E-001  0.0000000E+000  9.5274928E-001  9.5101810E-001  9.5205237E-001  2.9899388E-005  2.3433466E-005  0.0000000E+000  4.7154147E-005  1.3361489E-004  3.0535133E-004  2.1765333E-005  6.2713528E-005  0.0000000E+000  8.4090335E-006  3.2034545E-005  1.1360762E-004  3.3095879E-005  4.7492945E-007  0.0000000E+000
  0.0000000E+000  2.7097249E-001  8.1779409E-005  7.2892959E-007  2.0536737E-004  9.6226320E-001  0.0000000E+000  9.7495930E-001  9.7401772E-001  9.7460180E-001  3.5990914E-005  2.7453792E-005  0.0000000E+000  4.7899084E-005  1.3804987E-004  3.3211346E-004  2.8696638E-005  6.4721515E-005  0.0000000E+000  1.1652663E-005  4.0316819E-005  1.2848719E-004  3.3915746E-005  1.6488972E-007  0.0000000E+000
  0.0000000E+000  2.9138868E-001  8.9785934E-005  6.9984225E-007  2.1179409E-004  9.8166575E-001  0.0000000E+000  9.8927178E-001  9.8886318E-001  9.8912464E-001  4.4516469E-005  3.3011749E-005  0.0000000E+000  4.8975605E-005  1.4450233E-004  3.6784380E-004  3.8621423E-005  6.7410088E-005  0.0000000E+000  1.6440349E-005  5.2556750E-005  1.4881037E-004  3.5245134E-005  1.3082530E-007  0.0000000E+000
  0.0000000E+000  3.1538923E-001  9.9768140E-005  6.6631430E-007  2.1958221E-004  9.9330093E-001  0.0000000E+000  9.9651613E-001  9.9638324E-001  9.9647057E-001  5.6920253E-005  4.0993182E-005  0.0000000E+000  5.0594230E-005  1.5426578E-004  4.1721826E-004  5.3413286E-005  7.1137509E-005  0.0000000E+000  2.3790285E-005  7.1357390E-005  1.7761857E-004  3.7456910E-005  6.9126408E-007  0.0000000E+000
  0.0000000E+000  3.4365931E-001  1.1240741E-004  6.2758536E-007  2.2913812E-004  9.9480585E-001  0.0000000E+000  9.9757429E-001  9.9748253E-001  9.9754425E-001  7.5895156E-005  5.3035652E-005  0.0000000E+000  5.3155103E-005  1.6980451E-004  4.8863114E-004  7.6630882E-005  7.6549058E-005  0.0000000E+000  3.5663307E-005  1.0171543E-004  2.2048750E-004  4.1285122E-005  2.5243421E-006  0.0000000E+000
  0.0000000E+000  3.7701331E-001  1.2871883E-004  5.8275151E-007  2.4104846E-004  9.8428318E-001  0.0000000E+000  9.9332530E-001  9.9307699E-001  9.9324759E-001  1.0691379E-004  7.2436944E-005  0.0000000E+000  5.7487599E-005  1.9623779E-004  5.9848172E-004  1.1566319E-004  8.4910181E-005  0.0000000E+000  5.6187743E-005  1.5409885E-004  2.8855413E-004  4.8305640E-005  7.1891206E-006  0.0000000E+000
  0.0000000E+000  4.1639065E-001  1.5026898E-004  5.3078440E-007  2.5618867E-004  9.6071259E-001  0.0000000E+000  9.8460814E-001  9.8404926E-001  9.8444085E-001  1.6240989E-004  1.0661657E-004  0.0000000E+000  6.5515415E-005  2.4546661E-004  7.8253719E-004  1.8775014E-004  9.8993555E-005  0.0000000E+000  9.5134011E-005  2.5308924E-004  4.0668250E-004  6.2309519E-005  1.8674843E-005  0.0000000E+000
  0.0000000E+000  4.6281621E-001  1.7958022E-004  4.7064235E-007  2.7591807E-004  9.2425478E-001  0.0000000E+000  9.7219886E-001  9.7122005E-001  9.7191879E-001  2.7506757E-004  1.7486436E-004  0.0000000E+000  8.2411405E-005  3.4956792E-004  1.1309365E-003  3.3988502E-004  1.2582834E-004  0.0000000E+000  1.7954349E-004  4.6583744E-004  6.3910142E-004  9.3914664E-005  4.8822723E-005  0.0000000E+000
  0.0000000E+000  5.1728726E-001  2.2092784E-004  4.0164536E-007  3.0245192E-004  8.7632313E-001  0.0000000E+000  9.5679839E-001  9.5533222E-001  9.5639797E-001  5.4745234E-004  3.3688521E-004  0.0000000E+000  1.2486581E-004  6.1230063E-004  1.9140127E-003  7.2823400E-004  1.8668452E-004  0.0000000E+000  4.0091465E-004  1.0142226E-003  1.1839295E-003  1.7922345E-004  1.4038805E-004  0.0000000E+000
  0.0000000E+000  5.8052208E-001  2.8203234E-004  3.2462296E-007  3.3962267E-004  8.1937257E-001  0.0000000E+000  9.3902785E-001  9.3704381E-001  9.3851204E-001  1.3137681E-003  7.8244446E-004  0.0000000E+000  2.4996227E-004  1.3898119E-003  3.9338406E-003  1.9183233E-003  3.4598894E-004  0.0000000E+000  1.1006460E-003  2.6925247E-003  2.6698609E-003  4.5349914E-004  4.6745944E-004  0.0000000E+000
  0.0000000E+000  6.5247347E-001  3.7799404E-004  2.4546663E-007  3.9457790E-004  7.5646819E-001  0.0000000E+000  9.1942918E-001  9.1692759E-001  9.1881244E-001  2.1652247E-003  1.2477710E-003  0.0000000E+000  4.0518805E-004  2.3639818E-003  5.1595690E-003  3.2634194E-003  4.4935700E-004  0.0000000E+000  1.9509067E-003  4.8474472E-003  4.0843906E-003  8.4143334E-004  1.0150966E-003  0.0000000E+000
  0.0000000E+000  7.3150314E-001  5.4154021E-004  1.8695472E-007  4.8199400E-004  6.9077817E-001  0.0000000E+000  8.9846896E-001  8.9547464E-001  8.9777255E-001  1.0586410E-003  5.8967949E-004  0.0000000E+000  2.3198966E-004  1.2940214E-003  1.8182851E-003  1.5084756E-003  1.8772595E-004  0.0000000E+000  9.3823297E-004  2.4943194E-003  1.7870508E-003  4.7043242E-004  6.0900193E-004  0.0000000E+000
  0.0000000E+000  8.1321590E-001  8.5378593E-004  2.3343109E-007  6.3598530E-004  6.2514203E-001  0.0000000E+000  8.7654417E-001  8.7310044E-001  8.7579387E-001  4.5060004E-004  2.4260900E-004  0.0000000E+000  1.2935784E-004  6.5370611E-004  5.9149369E-004  6.5075274E-004  8.9863089E-005  0.0000000E+000  4.2120751E-004  1.1420549E-003  6.9779144E-004  2.4182266E-004  3.1769572E-004  0.0000000E+000
  0.0000000E+000  8.8931940E-001  1.5530254E-003  7.3307311E-007  9.4868924E-004  5.6180483E-001  0.0000000E+000  8.5398898E-001  8.5015229E-001  8.5321318E-001  2.3308856E-004  1.2131499E-004  0.0000000E+000  9.1178257E-005  4.1431615E-004  2.3735902E-004  3.4685842E-004  6.1072587E-005  0.0000000E+000  2.3365179E-004  6.4014240E-004  3.3523630E-004  1.5420180E-004  1.9916229E-004  0.0000000E+000
  0.0000000E+000  9.4757082E-001  3.4369259E-003  3.3809574E-006  1.6864575E-003  5.0232870E-001  0.0000000E+000  8.3108180E-001  8.2691711E-001  8.3030997E-001  1.3972060E-004  7.0297037E-005  0.0000000E+000  7.4248443E-005  3.0775451E-004  1.1236545E-004  2.1436633E-004  5.0653478E-005  0.0000000E+000  1.5027094E-004  4.1604274E-004  1.8800437E-004  1.1408182E-004  1.4255363E-004  0.0000000E+000
  0.0000000E+000  9.7434439E-001  7.0887703E-003  1.3169560E-005  2.7447924E-003  4.4763850E-001  0.0000000E+000  8.0805221E-001  8.0362918E-001  8.0731374E-001  9.2458749E-005  4.4969685E-005  0.0000000E+000  6.5423980E-005  2.5201450E-004  6.1609463E-005  1.4595097E-004  4.6270547E-005  0.0000000E+000  1.0645710E-004  2.9819409E-004  1.1725945E-004  9.2521293E-005  1.1109570E-004  0.0000000E+000
  0.0000000E+000  9.6013858E-001  4.4383845E-003  1.3875146E-005  1.3382595E-003  3.9814054E-001  0.0000000E+000  7.8508751E-001  7.8047748E-001  7.8441082E-001  6.5540287E-005  3.0817818E-005  0.0000000E+000  6.0260253E-005  2.1928404E-004  3.9578093E-005  1.0618439E-004  4.4262105E-005  0.0000000E+000  8.0578415E-005  2.2858470E-004  7.9012334E-005  7.9538424E-005  9.1617181E-005  0.0000000E+000
