           [1>1]           [1>2]           [1>3]           [1>4]           [1>5]           [2>1]           [2>2]           [2>3]           [2>4]           [2>5]           [3>1]           [3>2]           [3>3]           [3>4]           [3>5]           [4>1]           [4>2]           [4>3]           [4>4]           [4>5]           [5>1]           [5>2]           [5>3]           [5>4]           [5>5]
  0.0000000E+000  2.5352135E-001  5.6181623E-005  5.6284252E-007  1.4929382E-004  1.9893577E-001  0.0000000E+000  2.6726710E-001  2.5735253E-001  2.6318974E-001  2.9893283E-005  2.3428530E-005  0.0000000E+000  4.7145333E-005  1.3360147E-004  3.0532298E-004  2.1757140E-005  6.2692489E-005  0.0000000E+000  8.4057559E-006  3.2029831E-005  1.1360017E-004  3.3091044E-005  4.7484457E-007  0.0000000E+000
  0.0000000E+000  2.7091562E-001  5.9611802E-005  5.3129859E-007  1.4971779E-004  1.8046884E-001  0.0000000E+000  2.7555821E-001  2.6531567E-001  2.7157990E-001  3.5983235E-005  2.7447699E-005  0.0000000E+000  4.7889434E-005  1.3803450E-004  3.3207858E-004  2.8684917E-005  6.4697412E-005  0.0000000E+000  1.1647705E-005  4.0310265E-005  1.2847763E-004  3.3910016E-005  1.6485629E-007  0.0000000E+000
  0.0000000E+000  2.9132626E-001  6.3615414E-005  4.9581027E-007  1.5007933E-004  1.6399096E-001  0.0000000E+000  2.8242770E-001  2.7195327E-001  2.7856526E-001  4.4506388E-005  3.3003894E-005  0.0000000E+000  4.8964733E-005  1.4448405E-004  3.6779876E-004  3.8603981E-005  6.7381585E-005  0.0000000E+000  1.6432559E-005  5.2547071E-005  1.4879728E-004  3.5238033E-005  1.3079435E-007  0.0000000E+000
  0.0000000E+000  3.1532013E-001  6.8294193E-005  4.5606632E-007  1.5032842E-004  1.4929953E-001  0.0000000E+000  2.8801467E-001  2.7739534E-001  2.8428354E-001  5.6906262E-005  4.0982453E-005  0.0000000E+000  5.0581473E-005  1.5424288E-004  4.1715640E-004  5.3385936E-005  7.1102345E-005  0.0000000E+000  2.3777399E-005  7.1341995E-005  1.7759912E-004  3.7447559E-005  6.9106611E-007  0.0000000E+000
  0.0000000E+000  3.4358214E-001  7.3769283E-005  4.1181756E-007  1.5039335E-004  1.3619924E-001  0.0000000E+000  2.9245385E-001  2.8176772E-001  2.8886806E-001  7.5874214E-005  5.3019805E-005  0.0000000E+000  5.3139227E-005  1.6977360E-004  4.8853892E-004  7.6584851E-005  7.6503070E-005  0.0000000E+000  3.5640424E-005  1.0168855E-004  2.2045543E-004  4.1271718E-005  2.5234248E-006  0.0000000E+000
  0.0000000E+000  3.7692633E-001  8.0181936E-005  3.6296289E-007  1.5017153E-004  1.2450849E-001  0.0000000E+000  2.9587143E-001  2.8518828E-001  2.9244367E-001  1.0687893E-004  7.2410828E-005  0.0000000E+000  5.7466014E-005  1.9619133E-004  5.9832817E-004  1.1557768E-004  8.4844796E-005  0.0000000E+000  5.6142863E-005  1.5404584E-004  2.8849367E-004  4.8283915E-005  7.1855920E-006  0.0000000E+000
  0.0000000E+000  4.1629175E-001  8.7690727E-005  3.0969733E-007  1.4951690E-004  1.1406232E-001  0.0000000E+000  2.9838322E-001  2.8776509E-001  2.9512490E-001  1.6234209E-004  1.0656611E-004  0.0000000E+000  6.5481721E-005  2.4538453E-004  7.8223866E-004  1.8756687E-004  9.8888143E-005  0.0000000E+000  9.5032342E-005  2.5296586E-004  4.0654671E-004  6.2267262E-005  1.8661363E-005  0.0000000E+000
  0.0000000E+000  4.6270285E-001  9.6461279E-005  2.5275963E-007  1.4822331E-004  1.0471316E-001  0.0000000E+000  3.0009403E-001  2.8959593E-001  2.9701535E-001  2.7490075E-004  1.7474079E-004  0.0000000E+000  8.2345557E-005  3.4938195E-004  1.1302079E-003  3.3939725E-004  1.2562087E-004  0.0000000E+000  1.7925707E-004  4.6547349E-004  6.3871282E-004  9.3806385E-005  4.8764234E-005  0.0000000E+000
  0.0000000E+000  5.1715647E-001  1.0664128E-004  1.9383039E-007  1.4600464E-004  9.6330343E-002  0.0000000E+000  3.0109793E-001  2.9076850E-001  2.9820797E-001  5.4686502E-004  3.3645291E-004  0.0000000E+000  1.2467914E-004  6.1168343E-004  1.9115009E-003  7.2641531E-004  1.8611743E-004  0.0000000E+000  3.9978246E-004  1.0127001E-003  1.1823530E-003  1.7880494E-004  1.4005479E-004  0.0000000E+000
  0.0000000E+000  5.8037061E-001  1.1830884E-004  1.3613668E-007  1.4247543E-004  8.8798933E-002  0.0000000E+000  3.0147894E-001  2.9136105E-001  2.9878570E-001  1.3105943E-003  7.8013919E-004  0.0000000E+000  2.4909307E-004  1.3865599E-003  3.9206800E-003  1.9080446E-003  3.4359380E-004  0.0000000E+000  1.0938525E-003  2.6828966E-003  2.6602534E-003  4.5086526E-004  4.6475097E-004  0.0000000E+000
  0.0000000E+000  6.5229821E-001  1.3137733E-004  8.5283276E-008  1.3714357E-004  8.2018279E-002  0.0000000E+000  3.0131184E-001  2.9144319E-001  2.9882233E-001  2.1565649E-003  1.2416390E-003  0.0000000E+000  4.0285692E-004  2.3549962E-003  5.1305858E-003  3.2389143E-003  4.4472718E-004  0.0000000E+000  1.9337109E-003  4.8188688E-003  4.0571998E-003  8.3311888E-004  1.0052408E-003  0.0000000E+000
  0.0000000E+000  7.3130203E-001  1.4544063E-004  5.0182963E-008  1.2944068E-004  7.5900451E-002  0.0000000E+000  3.0066311E-001  2.9107674E-001  2.9838342E-001  1.0564061E-003  5.8815853E-004  0.0000000E+000  2.3130850E-004  1.2915939E-003  1.8135105E-003  1.5040476E-003  1.8692765E-004  0.0000000E+000  9.3494494E-004  2.4871983E-003  1.7806863E-003  4.6813953E-004  6.0611768E-004  0.0000000E+000
  0.0000000E+000  8.1298947E-001  1.5956547E-004  4.3589086E-008  1.1883444E-004  7.0368732E-002  0.0000000E+000  2.9959183E-001  2.9031660E-001  2.9752718E-001  4.5013833E-004  2.4230998E-004  0.0000000E+000  1.2918377E-004  6.5316901E-004  5.9080732E-004  6.5003615E-004  8.9713782E-005  0.0000000E+000  4.2064707E-004  1.1406217E-003  6.9660592E-004  2.4130171E-004  3.1703538E-004  0.0000000E+000
  0.0000000E+000  8.8907283E-001  1.7210941E-004  8.1114534E-008  1.0507206E-004  6.5356209E-002  0.0000000E+000  2.9815054E-001  2.8921154E-001  2.9630533E-001  2.3294254E-004  1.2122544E-004  0.0000000E+000  9.1108205E-005  4.1413167E-004  2.3720682E-004  3.4667399E-004  6.1022667E-005  0.0000000E+000  2.3350111E-004  6.3970207E-004  3.3490352E-004  1.5402084E-004  1.9893751E-004  0.0000000E+000
  0.0000000E+000  9.4731546E-001  1.8076794E-004  1.7721366E-007  8.8545085E-005  6.0804502E-002  0.0000000E+000  2.9638597E-001  2.8780490E-001  2.9476388E-001  1.3965743E-004  7.0260375E-005  0.0000000E+000  7.4210014E-005  3.0766707E-004  1.1231880E-004  2.1429920E-004  5.0629325E-005  0.0000000E+000  1.5021425E-004  4.1585788E-004  1.8787798E-004  1.1399669E-004  1.4245132E-004  0.0000000E+000
  0.0000000E+000  9.7409686E-001  1.8311859E-004  3.3779167E-007  7.0595196E-005  5.6662624E-002  0.0000000E+000  2.9433977E-001  2.8613527E-001  2.9294375E-001  9.2425250E-005  4.4951257E-005  0.0000000E+000  6.5398508E-005  2.5196340E-004  6.1591066E-005  1.4591969E-004  4.6256021E-005  0.0000000E+000  1.0643008E-004  2.9809846E-004  1.1720063E-004  9.2472596E-005  1.1103929E-004  0.0000000E+000
  0.0000000E+000  9.5991619E-001  1.7766788E-004  5.5296254E-007  5.3404034E-005  5.2885996E-002  0.0000000E+000  2.9204905E-001  2.8423704E-001  2.9088143E-001  6.5519950E-005  3.0807186E-005  0.0000000E+000  6.0241236E-005  2.1924971E-004  3.9568951E-005  1.0616693E-004  4.4252088E-005  0.0000000E+000  8.0563106E-005  2.2852753E-004  7.8980759E-005  7.9506681E-005  9.1581724E-005  0.0000000E+000
  0.0000000E+000  9.0481851E-001  1.6478657E-004  7.9681867E-007  3.9269910E-005  4.9435577E-002  0.0000000E+000  2.8954699E-001  2.8214087E-001  2.8860948E-001  4.8831878E-005  2.2199778E-005  0.0000000E+000  5.6961138E-005  1.9836962E-004  3.0087661E-005  8.1015946E-005  4.3304532E-005  0.0000000E+000  6.3951207E-005  1.8385269E-004  5.6505152E-005  7.1033454E-005  7.8560475E-005  0.0000000E+000
  0.0000000E+000  8.1900387E-001  1.4667906E-004  1.0370878E-006  2.9665337E-005  4.6277120E-002  0.0000000E+000  2.8686323E-001  2.7987417E-001  2.8615699E-001  3.7801620E-005  1.6617923E-005  0.0000000E+000  5.4742243E-005  1.8419142E-004  2.6539451E-005  6.4070614E-005  4.2869886E-005  0.0000000E+000  5.2601813E-005  1.5333157E-004  4.2446202E-005  6.5151453E-005  6.9333972E-005  0.0000000E+000
  0.0000000E+000  7.1774352E-001  1.2633040E-004  1.2479512E-006  2.4793684E-005  4.3380524E-002  0.0000000E+000  2.8402430E-001  2.7746145E-001  2.8354999E-001  3.0144538E-005  1.2816329E-005  0.0000000E+000  5.3168769E-005  1.7409599E-004  2.5936334E-005  5.2088579E-005  4.2698835E-005  0.0000000E+000  4.4471027E-005  1.3146505E-004  3.3229968E-005  6.0874977E-005  6.2504982E-005  0.0000000E+000
  0.0000000E+000  6.1498597E-001  1.0631444E-004  1.4167195E-006  2.3871746E-005  4.0719284E-002  0.0000000E+000  2.8105398E-001  2.7492464E-001  2.8081176E-001  2.4618324E-005  1.0124676E-005  0.0000000E+000  5.2010988E-005  1.6663406E-004  2.6823792E-005  4.3286296E-005  4.2667929E-005  0.0000000E+000  3.8424111E-005  1.1520080E-004  2.6964030E-005  5.7650545E-005  5.7274756E-005  0.0000000E+000
  0.0000000E+000  5.1990123E-001  8.8219745E-005  1.5424401E-006  2.5727346E-005  3.8270009E-002  0.0000000E+000  2.7797357E-001  2.7228341E-001  2.7796319E-001  2.0502163E-005  8.1579064E-006  0.0000000E+000  5.1133535E-005  1.6095043E-004  2.8454848E-005  3.6617126E-005  4.2712439E-005  0.0000000E+000  3.3789285E-005  1.0273222E-004  2.2579175E-005  5.5147035E-005  5.3157630E-005  0.0000000E+000
  0.0000000E+000  4.3678905E-001  7.2704504E-005  1.6308504E-006  2.9260749E-005  3.6012018E-002  0.0000000E+000  2.7480218E-001  2.6955536E-001  2.7502298E-001  1.7355232E-005  6.6828713E-006  0.0000000E+000  5.0452382E-005  1.5651353E-004  3.0431292E-005  3.1433858E-005  4.2796955E-005  0.0000000E+000  3.0147621E-005  9.2933008E-005  1.9438835E-005  5.3155919E-005  4.9843185E-005  0.0000000E+000
  0.0000000E+000  3.6657028E-001  5.9815730E-005  1.6898841E-006  3.3640044E-005  3.3926989E-002  0.0000000E+000  2.7155697E-001  2.6675630E-001  2.7200792E-001  1.4895971E-005  5.5521289E-006  0.0000000E+000  4.9913068E-005  1.5297840E-004  3.2535922E-005  2.7318615E-005  4.2901500E-005  0.0000000E+000  2.7226434E-005  8.5070143E-005  1.7147355E-005  5.1540194E-005  4.7124672E-005  0.0000000E+000
  0.0000000E+000  3.0835646E-001  4.9294776E-005  1.7271075E-006  3.8313979E-005  3.1998650E-002  0.0000000E+000  2.6825332E-001  2.6390040E-001  2.6893306E-001  1.2937869E-005  4.6689789E-006  0.0000000E+000  4.9478998E-005  1.5011294E-004  3.4649318E-005  2.3991637E-005  4.3014585E-005  0.0000000E+000  2.4841733E-005  7.8649122E-005  1.5449825E-005  5.0206599E-005  4.4859564E-005  0.0000000E+000
  0.0000000E+000  2.6053355E-001  4.0777389E-005  1.7487290E-006  4.2951536E-005  3.0212527E-002  0.0000000E+000  2.6490502E-001  2.6100036E-001  2.6581191E-001  1.1353484E-005  3.9680041E-006  0.0000000E+000  4.9124812E-005  1.4775616E-004  3.6706524E-005  2.1259781E-005  4.3129546E-005  0.0000000E+000  2.2865526E-005  7.3325979E-005  1.4176937E-005  4.9089710E-005  4.2946690E-005  0.0000000E+000
  0.0000000E+000  2.2135943E-001  3.3898221E-005  1.7594649E-006  4.7372001E-005  2.8555716E-002  0.0000000E+000  2.6152446E-001  2.5806756E-001  2.6265655E-001  1.0053382E-005  3.4037552E-006  0.0000000E+000  4.8832467E-005  1.4579338E-004  3.8673588E-005  1.8986121E-005  4.3242535E-005  0.0000000E+000  2.1206409E-005  6.8855090E-005  1.3213279E-005  4.8142429E-005  4.1312415E-005  0.0000000E+000
  0.0000000E+000  1.8923630E-001  2.8334700E-005  1.7627481E-006  5.1489010E-005  2.7016691E-002  0.0000000E+000  2.5812273E-001  2.5511223E-001  2.5947785E-001  8.9733265E-006  2.9439154E-006  0.0000000E+000  4.8588826E-005  1.4414101E-004  4.0534452E-005  1.7071326E-005  4.3351381E-005  0.0000000E+000  1.9797601E-005  6.5057008E-005  1.2478385E-005  4.7330080E-005  3.9901962E-005  0.0000000E+000
  0.0000000E+000  1.6280430E-001  2.3819046E-005  1.7610181E-006  5.5271959E-005  2.5585135E-002  0.0000000E+000  2.5470974E-001  2.5214348E-001  2.5628549E-001  8.0662288E-006  2.5650341E-006  0.0000000E+000  4.8384126E-005  1.4273689E-004  4.2283426E-005  1.5441869E-005  4.3454929E-005  0.0000000E+000  1.8589327E-005  6.1797982E-005  1.1915044E-005  4.6626627E-005  3.8673803E-005  0.0000000E+000
  0.0000000E+000  1.4094963E-001  2.0135970E-005  1.7559849E-006  5.8721414E-005  2.4251799E-002  0.0000000E+000  2.5129438E-001  2.4916949E-001  2.5308817E-001  7.2969443E-006  2.2497858E-006  0.0000000E+000  4.8210987E-005  1.4153397E-004  4.3920793E-005  1.4042341E-005  4.3552638E-005  0.0000000E+000  1.7543826E-005  5.8976546E-005  1.1481875E-005  4.6012179E-005  3.7595921E-005  0.0000000E+000
  0.0000000E+000  1.2277808E-001  1.7115205E-005  1.7488376E-006  6.1854174E-005  2.3008372E-002  0.0000000E+000  2.4788457E-001  2.4619755E-001  2.4989363E-001  6.6388174E-006  1.9851640E-006  0.0000000E+000  4.8063732E-005  1.4049607E-004  4.5450184E-005  1.2830321E-005  4.3644345E-005  0.0000000E+000  1.6631998E-005  5.6514504E-005  1.1148486E-005  4.5471306E-005  3.6643263E-005  0.0000000E+000
  0.0000000E+000  1.0757864E-001  1.4623093E-005  1.7403986E-006  6.4694532E-005  2.1847375E-002  0.0000000E+000  2.4448737E-001  2.4323416E-001  2.4670878E-001  6.0713377E-006  1.7612631E-006  0.0000000E+000  4.7937940E-005  1.3959495E-004  4.6877018E-005  1.1772862E-005  4.3730109E-005  0.0000000E+000  1.5831102E-005  5.4350741E-005  1.0892257E-005  4.4991870E-005  3.5795962E-005  0.0000000E+000
  0.0000000E+000  9.4787988E-002  1.2554927E-005  1.7312342E-006  6.7269319E-005  2.0762066E-002  0.0000000E+000  2.4110907E-001  2.4028511E-001  2.4353976E-001  5.5785174E-006  1.5704412E-006  0.0000000E+000  4.7830116E-005  1.3880831E-004  4.8207553E-005  1.0844048E-005  4.3810124E-005  0.0000000E+000  1.5123137E-005  5.2436884E-005  1.0696145E-005  4.4564205E-005  3.5038073E-005  0.0000000E+000
  0.0000000E+000  8.3959705E-002  1.0828586E-005  1.7217325E-006  6.9605217E-005  1.9746355E-002  0.0000000E+000  2.3775522E-001  2.3735552E-001  2.4039203E-001  5.1477462E-006  1.4067334E-006  0.0000000E+000  4.7737468E-005  1.3811831E-004  4.9448324E-005  1.0023254E-005  4.3884658E-005  0.0000000E+000  1.4493694E-005  5.0734204E-005  1.0547174E-005  4.4180527E-005  3.4356662E-005  0.0000000E+000
  0.0000000E+000  7.4739126E-002  9.3794556E-006  1.7121569E-006  7.1727394E-005  1.8794735E-002  0.0000000E+000  2.3443077E-001  2.3444995E-001  2.3727042E-001  4.7689711E-006  1.2654336E-006  0.0000000E+000  4.7657742E-005  1.3751056E-004  5.0605811E-005  9.2938906E-006  4.3954014E-005  0.0000000E+000  1.3931115E-005  4.9211369E-005  1.0435367E-005  4.3834506E-005  3.3741134E-005  0.0000000E+000
  0.0000000E+000  6.6843372E-002  8.1564627E-006  1.7026843E-006  7.3658886E-005  1.7902213E-002  0.0000000E+000  2.3114004E-001  2.3157239E-001  2.3417917E-001  4.4340982E-006  1.1427925E-006  0.0000000E+000  4.7589099E-005  1.3697330E-004  5.1686244E-005  8.6424875E-006  4.4018512E-005  0.0000000E+000  1.3425879E-005  4.7842788E-005  1.0352987E-005  4.3520942E-005  3.3182730E-005  0.0000000E+000
  0.0000000E+000  6.0045731E-002  7.1190325E-006  1.6934312E-006  7.5420411E-005  1.7064260E-002  0.0000000E+000  2.2788685E-001  2.2872637E-001  2.3112204E-001  4.1365528E-006  1.0357964E-006  0.0000000E+000  4.7530025E-005  1.3649687E-004  5.2695509E-005  8.0580069E-006  4.4078470E-005  0.0000000E+000  1.2970144E-005  4.6607380E-005  1.0293987E-005  4.3235531E-005  3.2674154E-005  0.0000000E+000
  0.0000000E+000  5.4163544E-002  6.2347483E-006  1.6844716E-006  7.7030405E-005  1.6276760E-002  0.0000000E+000  2.2467452E-001  2.2591497E-001  2.2810229E-001  3.8709492E-006  9.4200271E-007  0.0000000E+000  4.7479263E-005  1.3607323E-004  5.3639092E-005  7.5313320E-006  4.4134195E-005  0.0000000E+000  1.2557398E-005  4.5487635E-005  1.0253608E-005  4.2974681E-005  3.2209280E-005  0.0000000E+000
  0.0000000E+000  4.9048827E-002  5.4775626E-006  1.6758504E-006  7.8505169E-005  1.5535966E-002  0.0000000E+000  2.2150596E-001  2.2314087E-001  2.2512276E-001  3.6328421E-006  8.5941660E-007  0.0000000E+000  4.7435763E-005  1.3569567E-004  5.4522074E-005  7.0548750E-006  4.4185983E-005  0.0000000E+000  1.2182191E-005  4.4468908E-005  1.0228081E-005  4.2735376E-005  3.1782928E-005  0.0000000E+000
  0.0000000E+000  4.4581012E-002  4.8264243E-006  1.6675917E-006  7.9859065E-005  1.4838462E-002  0.0000000E+000  2.1838365E-001  2.2040639E-001  2.2218592E-001  3.4185360E-006  7.8639732E-007  0.0000000E+000  4.7398639E-005  1.3535856E-004  5.5349130E-005  6.6222772E-006  4.4234113E-005  0.0000000E+000  1.1839936E-005  4.3538860E-005  1.0214406E-005  4.2515061E-005  3.1390694E-005  0.0000000E+000
  0.0000000E+000  4.0661323E-002  4.2642232E-006  1.6597058E-006  8.1104729E-005  1.4181130E-002  0.0000000E+000  2.1530973E-001  2.1771353E-001  2.1929388E-001  3.2249387E-006  7.2158653E-007  0.0000000E+000  4.7367138E-005  1.3505711E-004  5.6124549E-005  6.2281749E-006  4.4278844E-005  0.0000000E+000  1.1526743E-005  4.2687032E-005  1.0210179E-005  4.2311563E-005  3.1028806E-005  0.0000000E+000
  0.0000000E+000  3.7208387E-002  3.7769750E-006  1.6521930E-006  8.2253270E-005  1.3561121E-002  0.0000000E+000  2.1228601E-001  2.1506397E-001  2.1644844E-001  3.0494465E-006  6.6385273E-007  0.0000000E+000  4.7340621E-005  1.3478722E-004  5.6852256E-005  5.8680162E-006  4.4320419E-005  0.0000000E+000  1.1239294E-005  4.1904507E-005  1.0213470E-005  4.2123024E-005  3.0694023E-005  0.0000000E+000
