           [1>1]           [1>2]           [2>1]           [2>2]
  0.0000000E+000  0.0000000E+000  0.0000000E+000  0.0000000E+000
  0.0000000E+000  4.0086355E-002  8.5503878E-002  0.0000000E+000
  0.0000000E+000  3.2209817E-002  8.4026249E-002  0.0000000E+000
  0.0000000E+000  2.3808802E-002  8.1671323E-002  0.0000000E+000
  0.0000000E+000  1.6922348E-002  7.8582885E-002  0.0000000E+000
  0.0000000E+000  1.1866111E-002  7.4931628E-002  0.0000000E+000
  0.0000000E+000  8.3259227E-003  7.0894385E-002  0.0000000E+000
  0.0000000E+000  5.9140723E-003  6.6637006E-002  0.0000000E+000
  0.0000000E+000  4.3237167E-003  6.2302946E-002  0.0000000E+000
  0.0000000E+000  3.3403941E-003  5.8007716E-002  0.0000000E+000
  0.0000000E+000  2.8210505E-003  5.3838103E-002  0.0000000E+000
  0.0000000E+000  2.6725670E-003  4.9854559E-002  0.0000000E+000
  0.0000000E+000  2.8359618E-003  4.6095275E-002  0.0000000E+000
  0.0000000E+000  3.2758298E-003  4.2580770E-002  0.0000000E+000
  0.0000000E+000  3.9735175E-003  3.9318281E-002  0.0000000E+000
  0.0000000E+000  4.9227512E-003  3.6305560E-002  0.0000000E+000
  0.0000000E+000  6.1268191E-003  3.3533962E-002  0.0000000E+000
  0.0000000E+000  7.5966961E-003  3.0990822E-002  0.0000000E+000
  0.0000000E+000  9.3496819E-003  2.8661217E-002  0.0000000E+000
  0.0000000E+000  1.1408215E-002  2.6529221E-002  0.0000000E+000
  0.0000000E+000  1.3798550E-002  2.4578766E-002  0.0000000E+000
  0.0000000E+000  1.6548979E-002  2.2794207E-002  0.0000000E+000
  0.0000000E+000  1.9687199E-002  2.1160676E-002  0.0000000E+000
  0.0000000E+000  2.3236412E-002  1.9664276E-002  0.0000000E+000
  0.0000000E+000  2.7209669E-002  1.8292173E-002  0.0000000E+000
  0.0000000E+000  3.1602096E-002  1.7032623E-002  0.0000000E+000
  0.0000000E+000  3.6380940E-002  1.5874943E-002  0.0000000E+000
  0.0000000E+000  4.1474105E-002  1.4809462E-002  0.0000000E+000
  0.0000000E+000  4.6759034E-002  1.3827454E-002  0.0000000E+000
  0.0000000E+000  5.2055461E-002  1.2921066E-002  0.0000000E+000
  0.0000000E+000  5.7126936E-002  1.2083239E-002  0.0000000E+000
  0.0000000E+000  6.1696138E-002  1.1307634E-002  0.0000000E+000
  0.0000000E+000  6.5476208E-002  1.0588563E-002  0.0000000E+000
  0.0000000E+000  6.8214426E-002  9.9209226E-003  0.0000000E+000
  0.0000000E+000  6.9737432E-002  9.3001337E-003  0.0000000E+000
  0.0000000E+000  6.9983423E-002  8.7220855E-003  0.0000000E+000
  0.0000000E+000  6.9009907E-002  8.1830871E-003  0.0000000E+000
  0.0000000E+000  6.6975117E-002  7.6798227E-003  0.0000000E+000
  0.0000000E+000  6.4101376E-002  7.2093123E-003  0.0000000E+000
  0.0000000E+000  6.0633728E-002  6.7688761E-003  0.0000000E+000
  0.0000000E+000  5.6805346E-002  6.3561037E-003  0.0000000E+000
  0.0000000E+000  5.2815459E-002  5.9688262E-003  0.0000000E+000
  0.0000000E+000  4.8819907E-002  5.6050916E-003  0.0000000E+000
  0.0000000E+000  4.4931113E-002  5.2631439E-003  0.0000000E+000
  0.0000000E+000  4.1223538E-002  4.9414032E-003  0.0000000E+000
  0.0000000E+000  3.7741310E-002  4.6384500E-003  0.0000000E+000
  0.0000000E+000  3.4505949E-002  4.3530097E-003  0.0000000E+000
  0.0000000E+000  3.1523081E-002  4.0839400E-003  0.0000000E+000
  0.0000000E+000  2.8787799E-002  3.8302198E-003  0.0000000E+000
  0.0000000E+000  2.6288666E-002  3.5909392E-003  0.0000000E+000
  0.0000000E+000  2.4010583E-002  3.3652906E-003  0.0000000E+000
  0.0000000E+000  2.1936742E-002  3.1525615E-003  0.0000000E+000
  0.0000000E+000  2.0049924E-002  2.9521278E-003  0.0000000E+000
  0.0000000E+000  1.8333305E-002  2.7634482E-003  0.0000000E+000
  0.0000000E+000  1.6770934E-002  2.5860587E-003  0.0000000E+000
  0.0000000E+000  1.5347987E-002  2.4195688E-003  0.0000000E+000
  0.0000000E+000  1.4050876E-002  2.2636571E-003  0.0000000E+000
  0.0000000E+000  1.2867261E-002  2.1180680E-003  0.0000000E+000
  0.0000000E+000  1.1786010E-002  1.9826083E-003  0.0000000E+000
  0.0000000E+000  1.0797126E-002  1.8571439E-003  0.0000000E+000
  0.0000000E+000  9.8916567E-003  1.7415969E-003  0.0000000E+000
  0.0000000E+000  9.0616020E-003  1.6359420E-003  0.0000000E+000
  0.0000000E+000  8.2998182E-003  1.5402031E-003  0.0000000E+000
  0.0000000E+000  7.5999300E-003  1.4544491E-003  0.0000000E+000
  0.0000000E+000  6.9562467E-003  1.3787893E-003  0.0000000E+000
  0.0000000E+000  6.3636867E-003  1.3133680E-003  0.0000000E+000
  0.0000000E+000  5.8177089E-003  1.2583578E-003  0.0000000E+000
  0.0000000E+000  5.3142515E-003  1.2139522E-003  0.0000000E+000
  0.0000000E+000  4.8496772E-003  1.1803564E-003  0.0000000E+000
  0.0000000E+000  4.4207253E-003  1.1577778E-003  0.0000000E+000
  0.0000000E+000  4.0244690E-003  1.1464131E-003  0.0000000E+000
  0.0000000E+000  3.6582777E-003  1.1464362E-003  0.0000000E+000
  0.0000000E+000  3.3197839E-003  1.1579830E-003  0.0000000E+000
  0.0000000E+000  3.0068543E-003  1.1811361E-003  0.0000000E+000
  0.0000000E+000  2.7175640E-003  1.2159085E-003  0.0000000E+000
  0.0000000E+000  2.4501740E-003  1.2622271E-003  0.0000000E+000
  0.0000000E+000  2.2031111E-003  1.3199162E-003  0.0000000E+000
  0.0000000E+000  1.9749511E-003  1.3886834E-003  0.0000000E+000
  0.0000000E+000  1.7644027E-003  1.4681067E-003  0.0000000E+000
  0.0000000E+000  1.5702939E-003  1.5576249E-003  0.0000000E+000
  0.0000000E+000  1.3915606E-003  1.6565328E-003  0.0000000E+000
  0.0000000E+000  1.2272351E-003  1.7639802E-003  0.0000000E+000
  0.0000000E+000  1.0764375E-003  1.8789781E-003  0.0000000E+000
  0.0000000E+000  9.3836650E-004  2.0004090E-003  0.0000000E+000
  0.0000000E+000  8.1229278E-004  2.1270450E-003  0.0000000E+000
  0.0000000E+000  6.9755180E-004  2.2575698E-003  0.0000000E+000
  0.0000000E+000  5.9353820E-004  2.3906068E-003  0.0000000E+000
  0.0000000E+000  4.9970048E-004  2.5247492E-003  0.0000000E+000
